trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,0,-94.77203773091786,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-93.83826004600368,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",25,0,-92.31778959862984,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,14,-26.71369712030663,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",20,0,-80.11047616922117,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,9,-23.439038751694596,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,17,11.395778707247473,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,0,-78.87876566414751,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",30,0,-11.072336020305173,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",20,0,-64.59273076952158,"{0: 10, 1: 7, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-107.74061963370592,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",30,0,-159.00099973332397,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-91.95140154371396,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-132.72985061422963,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",25,0,-108.73715186803668,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
91,False,"{'a': 0.002, 'e': 0.835270211411272}",25,5,-60.37328137441614,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",30,0,-78.52234240612783,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,0,-138.68755827228028,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",30,0,-57.40637082838957,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,12,-43.92055160641364,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,0,-76.37450410434079,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
